"केमिष्ट (रा.प.तृ.,इन्जि, केमिष्ट्री)","chemist-eng-chemistry","616"
"ल्याब असिस्टेन्ट (रा.प.अनं.प्रथम ,ईन्जि.केमिष्ट्री","lab-assistant","616"
"निर्देशक (रा.प.द्वि., प्र. सा.प्र.)","director","648"
"शाखा अधिकृत (रा.प.तृ.,प्रशासन)","sakha-adhikrit1","648"
"कम्प्युटर अधिकृत (रा.प.तृतीय, विविध)","computer-adhikrit","648"
"वातावरण निरीक्षक (रा.प.तृतीय, विविध)","environment-adhikrit-1","648"
"डकुमेन्टेशन सहायक (रा.प.अनं.प्र.शिक्षा, पुस्तकालय विज्ञान)","documentation-sahayak","648"
"Rules & Regulation","rules","714"
"भिडियाे ग्यालेरी","video-gallery-panel","685"
"ग्यालेरी","gallery","0"
"BOOK Upload","book-upload","584"
,"698","626"
"ध्वनी ग्यालेरी","audio-gallery","685"
,"699","626"
,"706","628"
,"707","628"
"event1","event10--1-1-1","623"
"event 2","event-2-2-2-2","623"
"gernal","gernal","715"
"test tab","test-tab","338"
"test tab sub 1","test-tab-sub-1","720"
"test tab sub 2","test-tab-sub-2","720"
,"724","723"
,"725","723"
,"726","723"
,"727","723"
,"728","723"
"वातावरण संरक्षण नियमावली, २०५४ का संशोधनहरु","environment-preservation-rule","574"
"वातावरण लाइ कसरि बचाउन सकिन्छ","preserve-environment","574"
"ICT in Agriculture Nepal (Krishighar)","ict-in-agriculture-nepal-krishighar","0"
"Agriculture Information & Communication Center","agriculture-information-and-communication-center","0"
